event_id,state,district,lat,lng,geology,year,label
NG/MON/83N01/2017/16,Nagaland,Mon,26.768833,95.086194,Shale,2017.0,2
NG/PHE/83K10/2017/23,Nagaland,Phek,25.591833,94.595278,Shale of Disang,2017.0,2
NAG/ZUN/83J12/2016/0055,Nagaland,Zunheboto,26.031786,94.634392,Shale,2016.0,2
NAG/KOH/83K1/2016/135,Nagaland,Kohima,25.781919,94.171169, ,2016.0,2
NAG/WOKH/83J08/2015/0050,Nagaland,Wokha,26.192667,94.282194,Shale,2015.0,2
NAG/WOKH/83J08/2015/0004,Nagaland,Wokha,26.067194,94.317611,Weathered Shale-Siltstone is the exposed rock type in the area.,2015.0,2
NAG/ZUN/83J12/2016/0014,Nagaland,Zunheboto,26.085597,94.559075,Sandstone and shale,2016.0,2
NAG/KIP/83K13/2016/020,Nagaland,Kiphire,25.893797,94.821944,Sandstone with intercalation of shale,2016.0,2
NAG/KIP/83K13/2016/053,Nagaland,Kiphire,25.786425,94.796303,Shale,2016.0,2
NG/KOH/83K2/2015/33,Nagaland,Kohima,25.677,94.08,Variably thin overburden (2-3m) resting over sandstones with minor shale and siltstone intercalation (Barails).,2015.0,2
NG/KOH/83K2/2015/228,Nagaland,Kohima,25.743,94.242,Colluvium,2015.0,2
NAG/WOK/83J/4/2016/0111,Nagaland,Wokha,26.230083,94.198, ,2016.0,2
NAG/KIP/83K13/2016/086,Nagaland,Kiphire,25.881489,94.962525,Serpentinite,2016.0,2
NG/PHE/83K10/2017/34,Nagaland,Phek,25.505833,94.653806,Ultramafic cummulates,2017.0,2
NG/MON/83N01/2017/61,Nagaland,Mon,26.841667,95.079333,Shale,2017.0,2
NG/PHE/83K14/2017/54,Nagaland,Phek,25.554167,94.760944,"Tuffaceous grwywacke, lithicfeldspathic arenite (Pokhpur Fm)",2017.0,2
NG/NOK/83N04/2017/26,Nagaland,Noklak,26.176111,95.023639,Shale,2017.0,2
NG/LON/83J15/2017/33,Nagaland,Longleng,26.434722,94.863056,sandstone dominant with shale,2017.0,2
NG/TUE/83N4/2017/14,Nagaland,Tuensang,26.24075,95.056722,Not exposed,2017.0,2
NG/PHE/83K2/2015/61,Nagaland,Phek,25.619,94.206,"Varaibly thin, clay-rich overburden resting over highly weathered shales of Disang Group",2015.0,2
NL/WOK/83F16/2018/8,Nagaland,Wokha,26.0044,93.9789,Weathered buff coloured sandstone,2018.0,2
NAG/PHK/83K5/2016/037,Nagaland,Phek,25.760111,94.366528,No exposure,2016.0,2
NG/PHE/83K10/2017/1,Nagaland,Phek,25.667,94.718944,Shale,2017.0,2
NAG/MOK/83J/7/2016/0017,Nagaland,Mokokchung,26.395139,94.451194,Shale,2016.0,2
NAG/ZUNH/83J08/2015/ 0076,Nagaland,Zunheboto,26.232694,94.473083,Shale and Sandstone,2015.0,2
NAG/KOH/83K1/2016/054,Nagaland,Kohima,25.750583,94.180833,No exposure,2016.0,2
NAG/WOKH/83J08/2015/0025,Nagaland,Wokha,26.088361,94.264222,Sandstone and shale,2015.0,2
NAG/KOH/83K1/2016/007,Nagaland,Kohima,25.840361,94.152167,No exposure,2016.0,2
NAG/ZUN/83K09/2016/105,Nagaland,Kiphire,25.964283,94.619592,Shale,2016.0,2
NA/DIM/83G13/2020/47,Nagaland,Dimapur,25.78,93.82,Ferruginous sandstone with siltstone and clay,2020.0,2
NG/PRN/83G07/2017/9,Nagaland,Peren,25.40975,93.475944,"Shale, flaggy sandstone and calcareous rocks belonging to Disang",2017.0,2
NAG/MOKH/83J08/2015/ 0115,Nagaland,Mokokchung,26.429361,94.623,Sandstone and shale,2015.0,2
NG/MON/83N2/2017/16,Nagaland,Mon,26.723,95.029139,Sand stone,2017.0,2
NA/DIM/83G13/2020/13,Nagaland,Dimapur,25.77,93.91,Flaggy sandstone with subordinate shale,2020.0,2
NG/MON/83N01/2017/39,Nagaland,Mon,26.820806,95.077889,Shale (laminated),2017.0,2
NG/PHE/83K6/2015/248,Nagaland,Phek,25.546,94.274,Sandstone dominated Barails,2015.0,2
NAG/ZUN/83K09/2016/091,Nagaland,Kiphire,25.879925,94.632275,Shale,2016.0,2
NG/MON/83N01/2017/23,Nagaland,Mon,26.785722,95.071889,Shale,2017.0,2
NG/MOK/83J10/2017/25,Nagaland,Mokukchung,26.66725,94.614028,Sandstone,2017.0,2
NAG/WOK/83J/4/2016/0050,Nagaland,Wokha,26.235278,94.215556,Sandstone,2016.0,2
NAG/ZUNH/83J08/2015/ 0075,Nagaland,Zunheboto,26.232556,94.472889,Shale and Sandstone,2015.0,2
NL/KOH/83K02/2014/29,Nagaland,Kohima,25.68375,94.12436,Tertiary sedimentary sequence (mainly grey splintery shale belonging to Disang formation),2014.0,2
NG/PER/83G14/2015/27,Nagaland,Peren,25.629,93.855,Sandstone and shale,2015.0,2
NAG/ZUN/83K09/2016/119,Nagaland,Kiphire,25.851617,94.528211,Shale,2016.0,2
NG/KOH/83K2/2015/113,Nagaland,Kohima,25.649,94.121,Shale dominated Disangs,2015.0,2
NG/MON/83N01/2017/33,Nagaland,Mon,26.813917,95.075667,Shale,2017.0,2
NG/PER/83G14/2015/17,Nagaland,Peren,25.576,93.783,Sandstone dominated Barails,2015.0,2
NG/PHE/83K6/2015/325,Nagaland,Phek,25.696,94.426,Sandstone dominated Barails,2015.0,2
NAG/KOH/83K1/2016/114,Nagaland,Kohima,25.880083,94.234167,Shale,2016.0,2
NG/MOK/83J10/2017/6,Nagaland,Mokukchung,26.673639,94.744139,Shale,2017.0,2
NAG/WOK/83J/4/2016/0030,Nagaland,Wokha,26.216583,94.240556,Sandstone,2016.0,2
NG/NOK/83N04/2017/54,Nagaland,Noklak,26.045083,95.054833,Not exposed,2017.0,2
NAG/ZUNH/83J08/2015/ 0064,Nagaland,Zunheboto,26.073194,94.482139,Weathered shale,2015.0,2
NAG/KOH/83K1/2016/053,Nagaland,Kohima,25.78875,94.234111,Shale,2016.0,2
NG/KOH/83K2/2015/164,Nagaland,Kohima,25.701,94.089,Compacted debris,2015.0,2
NAG/ZUN/83K09/2016/103,Nagaland,Kiphire,25.958047,94.597519,Shale,2016.0,2
NL/WOK/83F16/2018/4,Nagaland,Wokha,26.0043,93.9803,Ferruginous sandstone,2018.0,2
NAG/KOH/83K02/2008/F-4(A),Nagaland,Kohima,25.66917,94.10722, ,2008.0,2
