slope_deg,rainfall_24h_mm,rainfall_72h_mm,soil_moisture,elevation_m,lithology_code,ndvi,landslide_risk_level,event_id,state,district,lat,lng,year,data_source
36.2,110.5,201.5,0.43,820.0,4,0.52,2,MZ/AIZ/84A10/2015/205,Mizoram,Aizawl,23.716333,92.688639,2015,GSI_REAL
36.2,110.5,201.5,0.43,1372.0,4,0.52,2,MZ/CHA/84E08/2017/17,Mizoram,Champhai,23.151444,93.282333,2017,GSI_REAL
36.2,110.5,201.5,0.43,693.0,3,0.52,2,MZ/LUN/84A12/2018/35,Mizoram,Lunglei,23.091749,92.695419,2018,GSI_REAL
36.2,110.5,201.5,0.43,877.0,4,0.52,2,MZ/AIZ/84A14/2015/98,Mizoram,Aizawl,23.74425,92.968472,2015,GSI_REAL
36.2,110.5,201.5,0.43,984.0,4,0.52,2,MZ/CHA/84E07/2017/108,Mizoram,Champhai,23.397861,93.3845,2017,GSI_REAL
36.2,110.5,201.5,0.43,624.0,4,0.52,2,MZ/CHA/83H04/2017/6,Mizoram,Champhai,24.026138,93.240166,2017,GSI_REAL
36.2,110.5,201.5,0.43,1217.0,4,0.52,2,MIZ/AIZ/84A13/2016/11,Mizoram,Aizawl,23.9395,92.927889,2016,GSI_REAL
36.2,110.5,201.5,0.43,143.0,4,0.52,2,MZ/LUN/84A12/2018/76,Mizoram,Lunglei,23.083221,92.556969,2018,GSI_REAL
36.2,110.5,201.5,0.43,847.0,3,0.52,2,MZ/LUN/84A16/2018/51,Mizoram,Lunglei,23.007998,92.808693,2018,GSI_REAL
36.2,110.5,201.5,0.43,388.0,4,0.52,2,MZ/LUN/84B13/2018/95,Mizoram,Lunglei,22.901287,92.882271,2018,GSI_REAL
36.2,110.5,201.5,0.43,1364.0,4,0.52,2,MZ/CHA/84E07/2017/44,Mizoram,Champhai,23.473662,93.312845,2017,GSI_REAL
